Title,Handle,Description,Vendor,Product category,Type,Tags,Published on online store,Status,SKU,Barcode,Option1 name,Option1 value,Option1 Linked To,Option2 name,Option2 value,Option2 Linked To,Option3 name,Option3 value,Option3 Linked To,Price,Compare-at price,Cost per item,Charge tax,Tax code,Unit price total measure,Unit price total measure unit,Unit price base measure,Unit price base measure unit,Inventory tracker,Inventory quantity,Continue selling when out of stock,Weight value (grams),Weight unit for display,Requires shipping,Fulfillment service,Product image URL,Image position,Image alt text,Variant image URL,Gift card,SEO title,SEO description,Color (product.metafields.shopify.color-pattern),Google Shopping / Google product category,Google Shopping / Gender,Google Shopping / Age group,Google Shopping / Manufacturer part number (MPN),Google Shopping / Ad group name,Google Shopping / Ads labels,Google Shopping / Condition,Google Shopping / Custom product,Google Shopping / Custom label 0,Google Shopping / Custom label 1,Google Shopping / Custom label 2,Google Shopping / Custom label 3,Google Shopping / Custom label 4,Diamond Shape (product.metafields.custom.diamond_shape),Diamond Colour (product.metafields.custom.diamond_colour),Diamond Clarity (product.metafields.custom.diamond_clarity),Total Carat Weight (product.metafields.custom.total_carat_weight),Setting Style (product.metafields.custom.setting_style),Made In (product.metafields.custom.made_in)
,aurora-emerald-pear-diamond-stud-earrings,,,,,,,,AUR-STUD-14KWh-NAT-200ct,,,14K White Gold,,,Natural,,,,,14090,,,TRUE,,,,,,shopify,100,deny,100,g,TRUE,manual,,,,,,,,,,,,,,,,,,,,,,,,,,,
,aurora-emerald-pear-diamond-stud-earrings,,,,,,,,AUR-STUD-18KYe-LAB-050ct,,,18K Yellow Gold,,,Lab Grown,,,,,3090,,,TRUE,,,,,,shopify,100,deny,100,g,TRUE,manual,,,,,,,,,,,,,,,,,,,,,,,,,,,
,aurora-emerald-pear-diamond-stud-earrings,,,,,,,,AUR-STUD-18KYe-LAB-100ct,,,18K Yellow Gold,,,Lab Grown,,,,,4290,,,TRUE,,,,,,shopify,100,deny,100,g,TRUE,manual,,,,,,,,,,,,,,,,,,,,,,,,,,,
,aurora-emerald-pear-diamond-stud-earrings,,,,,,,,AUR-STUD-18KYe-LAB-200ct,,,18K Yellow Gold,,,Lab Grown,,,,,6590,,,TRUE,,,,,,shopify,100,deny,100,g,TRUE,manual,,,,,,,,,,,,,,,,,,,,,,,,,,,
,aurora-emerald-pear-diamond-stud-earrings,,,,,,,,AUR-STUD-18KYe-NAT-050ct,,,18K Yellow Gold,,,Natural,,,,,4890,,,TRUE,,,,,,shopify,100,deny,100,g,TRUE,manual,,,,,,,,,,,,,,,,,,,,,,,,,,,
,aurora-emerald-pear-diamond-stud-earrings,,,,,,,,AUR-STUD-18KYe-NAT-100ct,,,18K Yellow Gold,,,Natural,,,,,7690,,,TRUE,,,,,,shopify,100,deny,100,g,TRUE,manual,,,,,,,,,,,,,,,,,,,,,,,,,,,
,aurora-emerald-pear-diamond-stud-earrings,,,,,,,,AUR-STUD-18KYe-NAT-200ct,,,18K Yellow Gold,,,Natural,,,,,14390,,,TRUE,,,,,,shopify,100,deny,100,g,TRUE,manual,,,,,,,,,,,,,,,,,,,,,,,,,,,
,aurora-emerald-pear-diamond-stud-earrings,,,,,,,,AUR-STUD-Plati-LAB-050ct,,,Platinum,,,Lab Grown,,,,,3390,,,TRUE,,,,,,shopify,100,deny,100,g,TRUE,manual,,,,,,,,,,,,,,,,,,,,,,,,,,,
,aurora-emerald-pear-diamond-stud-earrings,,,,,,,,AUR-STUD-Plati-LAB-100ct,,,Platinum,,,Lab Grown,,,,,4590,,,TRUE,,,,,,shopify,100,deny,100,g,TRUE,manual,,,,,,,,,,,,,,,,,,,,,,,,,,,
,aurora-emerald-pear-diamond-stud-earrings,,,,,,,,AUR-STUD-Plati-LAB-200ct,,,Platinum,,,Lab Grown,,,,,6890,,,TRUE,,,,,,shopify,100,deny,100,g,TRUE,manual,,,,,,,,,,,,,,,,,,,,,,,,,,,
,aurora-emerald-pear-diamond-stud-earrings,,,,,,,,AUR-STUD-Plati-NAT-050ct,,,Platinum,,,Natural,,,,,5190,,,TRUE,,,,,,shopify,100,deny,100,g,TRUE,manual,,,,,,,,,,,,,,,,,,,,,,,,,,,
,aurora-emerald-pear-diamond-stud-earrings,,,,,,,,AUR-STUD-Plati-NAT-100ct,,,Platinum,,,Natural,,,,,7990,,,TRUE,,,,,,shopify,100,deny,100,g,TRUE,manual,,,,,,,,,,,,,,,,,,,,,,,,,,,
,aurora-emerald-pear-diamond-stud-earrings,,,,,,,,AUR-STUD-Plati-NAT-200ct,,,Platinum,,,Natural,,,,,14690,,,TRUE,,,,,,shopify,100,deny,100,g,TRUE,manual,,,,,,,,,,,,,,,,,,,,,,,,,,,
